faq_id,category,question,answer,source,related_faq
FAQ001,給与,給与の支給日はいつですか？,給与は毎月末日締めで翌月25日に支給されます。支給日が金融機関の休業日に当たる場合は前営業日に支給されます。,第15条（給与計算期間および支給日）,FAQ002
FAQ002,給与,給与は何日締めですか？,給与の締日は毎月末日です。翌月25日に支給されます。,第15条（給与計算期間および支給日）,FAQ001
FAQ003,給与,給与にはどのような手当がありますか？,基本給のほか、役職手当、住宅手当、時間外勤務手当、深夜勤務手当、休日勤務手当があります。,第15条（給与計算期間および支給日）,FAQ004;FAQ005;FAQ006
FAQ004,残業,残業代はどのように計算されますか？,法定労働時間を超えて勤務した場合、月60時間以下の時間外労働には25パーセントの割増賃金が適用されます。,第16条（割増賃金率）,FAQ005;FAQ006
FAQ005,残業,月60時間を超えた残業にはどのくらいの割増がありますか？,月60時間を超える時間外労働については50パーセントの割増賃金が適用されます。,第16条（割増賃金率）,FAQ004
FAQ006,残業,残業をするときは事前申請が必要ですか？,はい。残業を行う場合は、事前に勤怠管理システムから事前残業申請を行い、直属上長の承認を得る必要があります。事前申請のない残業は原則として認められていません。,第9条（時間外労働および休日労働）,FAQ004;FAQ005
FAQ007,残業,残業は何時間までできますか？,1か月の法定時間外労働が45時間を超えることは、特別条項が発動された場合を除き原則として禁止されています。,第9条（時間外労働および休日労働）,FAQ006
FAQ008,深夜勤務,深夜勤務には割増賃金がありますか？,22時から翌5時までの深夜労働には25パーセントの割増賃金が適用されます。時間外労働と重複する場合は合計50パーセントの割増となります。,第16条（割増賃金率）,FAQ004;FAQ005
FAQ009,休日勤務,休日に勤務した場合の割増賃金はありますか？,法定休日に勤務した場合は35パーセントの割増賃金が適用されます。,第16条（割増賃金率）,FAQ004
FAQ010,有給,有給休暇はいつから取得できますか？,入社日から6か月間継続勤務し、全労働日の8割以上出勤した従業員には、法定通り10日の年次有給休暇が付与されます。,第11条（年次有給休暇）,FAQ011;FAQ012
FAQ011,有給,有給休暇を取得するときはいつまでに申請すればいいですか？,原則として取得希望日の前日18時までに勤怠システムから申請する必要があります。,第11条（年次有給休暇）,FAQ010;FAQ012
FAQ012,有給,時間単位で有給休暇を取得できますか？,年間最大5日分に限り、1時間単位での時間単位有給休暇を取得できます。,第11条（年次有給休暇）,FAQ010;FAQ011
FAQ013,有給,会社から有給休暇の取得日を変更されることはありますか？,業務の正常な運営に著しい支障がある場合、会社は有給休暇の取得日時の変更を求めることがあります。,第11条（年次有給休暇）,FAQ011
FAQ014,休暇,本人が結婚した場合、特別休暇は何日取得できますか？,本人が結婚した場合、申請により連続5営業日の有給の特別休暇を取得できます。,第12条（特別有給休暇・慶弔休暇）,FAQ015
FAQ015,休暇,配偶者が出産した場合、休暇は何日取得できますか？,配偶者が出産した場合、申請により3営業日の有給の特別休暇を取得できます。また、配偶者の出産後8週間以内であれば、最大4週間の出生時育児休業を取得できます。,第12条（特別有給休暇・慶弔休暇）／第13条（産前産後休業・育児休業）,FAQ014;FAQ016
FAQ016,育児,出生時育児休業（産後パパ育休）は取得できますか？,配偶者の出産後8週間以内であれば、最大4週間の出生時育児休業を取得できます。2回に分割して取得することも可能です。,第13条（産前産後休業・育児休業）,FAQ015;FAQ017
FAQ017,育児,育児休業は何歳まで取得できますか？,1歳未満の子を養育する従業員は育児休業を取得できます。保育所に入所できない等の事情がある場合は最長2歳まで取得できます。,第13条（産前産後休業・育児休業）,FAQ016
FAQ018,介護,介護休業はどのくらい取得できますか？,要介護状態にある家族を介護する従業員は、対象家族1人につき通算93日まで、最大3回に分割して介護休業を取得できます。,第14条（介護休業および介護休暇）,FAQ019
FAQ019,介護,介護休暇は何日取得できますか？,要介護状態の家族が1人の場合は年5日、2人以上の場合は年10日を限度として介護休暇を取得できます。,第14条（介護休業および介護休暇）,FAQ018
FAQ020,勤務時間,通常の勤務時間は何時から何時までですか？,原則的な勤務時間は9時から18時までです。休憩時間は12時から13時までの60分間です。,第7条（所定労働時間）,FAQ021
FAQ021,勤務時間,所定労働時間は何時間ですか？,標準勤務形態における労働時間は1日8時間、週40時間です。,第7条（所定労働時間）,FAQ020;FAQ022
FAQ022,フレックスタイム,フレックスタイム制のコアタイムは何時ですか？,フレックスタイム制のコアタイムは11時から15時までです。この時間帯は必ず勤務する必要があります。,第8条（フレックスタイム制）,FAQ023
FAQ023,フレックスタイム,フレックスタイム制は誰でも利用できますか？,企画職、開発職等の専門業務に従事する従業員には、フレックスタイム制を適用することがあります。対象となるかは会社の適用状況を確認してください。,第8条（フレックスタイム制）,FAQ022
FAQ024,通勤交通費,通勤交通費はいくらまで支給されますか？,"最も経済的かつ合理的と認められる公共交通機関の通勤定期代が支給され、月額上限は35,000円です。",第17条（通勤交通費）,FAQ025
FAQ025,通勤交通費,自転車や自家用車で通勤できますか？,自家用車、バイク、自転車による通勤は、事前に車両通勤届を提出し、許可を得た場合に限り認められます。,第17条（通勤交通費）,FAQ024
FAQ026,出張,出張とはどのような場合ですか？,業務上必要な移動で、片道100km以上の移動を伴う遠方への移動を出張と定義しています。,第18条（出張旅費および日当）,FAQ027;FAQ028
FAQ027,出張,出張の日当はいくらですか？,"日帰り出張の場合は1日2,000円、宿泊を伴う出張の場合は1日3,000円の日当が支給されます。",第18条（出張旅費および日当）,FAQ026;FAQ028
FAQ028,出張,出張の宿泊費には上限がありますか？,"宿泊費の上限は1泊あたり12,000円（税抜）です。上限を超える場合は事前決裁が必要です。",第18条（出張旅費および日当）,FAQ026;FAQ027
FAQ029,経費精算,経費精算には領収書が必要ですか？,業務上発生した経費を精算する場合は、インボイス制度対応の適格領収書を保管する必要があります。,第19条（経費精算手続き）,FAQ030
FAQ030,経費精算,経費精算はいつまでに申請すればいいですか？,立替経費の精算申請は利用当月末締めで、翌月5日までに経費精算システムへ領収書画像を添付して申請する必要があります。,第19条（経費精算手続き）,FAQ029
FAQ031,在宅勤務,在宅勤務は誰でもできますか？,入社から3か月の試用期間を経過した正社員は、上長の承認を得た上で週3日を上限として在宅勤務を実施できます。,第20条（リモートワーク／在宅勤務）,FAQ032;FAQ033
FAQ032,在宅勤務,在宅勤務は週何日までできますか？,在宅勤務は週3日を上限として実施できます。ただし、上長の承認が必要です。,第20条（リモートワーク／在宅勤務）,FAQ031
FAQ033,在宅勤務,在宅勤務手当はいくらですか？,"リモートワーク環境支援として、月額5,000円の在宅勤務手当が一律支給されます。",第20条（リモートワーク／在宅勤務）,FAQ031;FAQ032
FAQ034,在宅勤務,カフェで在宅勤務してもいいですか？,リモートワーク中の執務環境は自宅内の独立した作業空間または個室とする必要があります。カフェ等の不特定多数が画面を覗き見できる公共の場での業務は禁止されています。,第20条（リモートワーク／在宅勤務）,FAQ031;FAQ035
FAQ035,PC利用,私物のパソコンを仕事で使ってもいいですか？,業務には原則として会社が貸与したPC・スマートフォンのみを使用し、許可なく私用端末を利用することは禁止されています。,第21条（情報端末の取り扱い）,FAQ036;FAQ037
FAQ036,PC利用,会社のパソコンに好きなアプリをインストールしてもいいですか？,貸与端末への私用アプリケーションのインストールは禁止されています。また、会社の許可を得ていないクラウドストレージの利用も禁止されています。,第21条（情報端末の取り扱い）,FAQ035;FAQ037
FAQ037,生成AI,ChatGPTなどの生成AIを仕事で使ってもいいですか？,業務利用する場合は、オプトアウト設定がなされた有料法人アカウント、またはAPI経由で利用する必要があります。,第22条（生成AIおよび外部ツールの利用規程）,FAQ038;FAQ039
FAQ038,生成AI,生成AIに社員や顧客の個人情報を入力してもいいですか？,顧客・取引先の個人情報および機密情報を外部生成AIツールのプロンプトに入力することは禁止されています。,第22条（生成AIおよび外部ツールの利用規程）,FAQ037;FAQ039
FAQ039,生成AI,生成AIに社内の機密情報を入力してもいいですか？,公開前の財務データ、新製品仕様、社外秘のソースコード、データベースのスキーマや接続情報などを外部生成AIツールに入力することは禁止されています。,第22条（生成AIおよび外部ツールの利用規程）,FAQ037;FAQ038
FAQ040,生成AI,生成AIが作った文章やコードをそのまま仕事で使ってもいいですか？,生成AIが生成したテキスト、コード、画像を業務成果物として利用する場合は、自身でファクトチェックと著作権侵害の確認を行う必要があります。,第22条（生成AIおよび外部ツールの利用規程）,FAQ037;FAQ038
FAQ041,副業,副業はできますか？,本業に支障のない範囲で副業・兼業が認められています。ただし、開始前に会社への申請と承認が必要です。,第23条（副業の基本方針）／第24条（副業の申請と審査基準）,FAQ042;FAQ043
FAQ042,副業,副業を始める場合はいつまでに申請すればいいですか？,副業を開始しようとする場合は、開始日の14日前までに副業・兼業申請書を人事部へ提出し、書面による承認を得る必要があります。,第24条（副業の申請と審査基準）,FAQ041;FAQ043
FAQ043,副業,どのような副業が禁止されますか？,競合他社への役務提供、会社の秘密情報等を利用するおそれがある業務、労働時間を合算して法定上限時間を超過するおそれがある業務、会社の信用や名誉を傷つけるおそれがある業務などは不許可となる場合があります。,第24条（副業の申請と審査基準）,FAQ041;FAQ042
FAQ044,ハラスメント,ハラスメントを受けた場合はどこに相談できますか？,ハラスメントやコンプライアンス違反については、社内相談窓口である人事部、または社外相談窓口である顧問弁護士へ通報・相談できます。,第27条（相談窓口および通報制度）,FAQ045
FAQ045,ハラスメント,相談したことが会社に知られて不利益を受けませんか？,通報者のプライバシーおよび相談内容は厳重に保護され、通報したことを理由とする不利益な取り扱いは禁止されています。,第27条（相談窓口および通報制度）,FAQ044
FAQ046,退職,退職するときはいつまでに申し出ればいいですか？,自己都合で退職する場合は、原則として退職希望日の30日前までに、直属上長を経由して人事部へ退職届を提出する必要があります。,第31条（自己都合退職）,FAQ047
FAQ047,退職,退職するときに返却するものはありますか？,退職日までに担当業務の完全な引き継ぎを行い、貸与された備品、セキュリティカード、健康保険証を返還する必要があります。,第31条（自己都合退職）,FAQ046
FAQ048,定年,定年は何歳ですか？,定年は満60歳に達した月の末日です。,第32条（定年）,FAQ049
FAQ049,定年,定年後も働くことはできますか？,定年後も勤務を希望し、心身ともに職務に耐えうる健康状態である場合は、シニア再雇用制度により最大65歳まで継続雇用される制度があります。,第32条（定年）,FAQ048
FAQ050,服務規律,遅刻や無断欠勤をしてもいいですか？,正当な理由なく無断で欠勤、遅刻、早退をすることは禁止されています。,第25条（服務規律）,FAQ051
FAQ051,ハラスメント,パワーハラスメントとは何ですか？,職務上の優位性を背景に、適正な業務の範囲を超えて精神的または身体的苦痛を与える行為をパワーハラスメントとしています。,第26条（ハラスメントの禁止）,FAQ044;FAQ045
FAQ052,ハラスメント,セクシュアルハラスメントとは何ですか？,意に反する性的な言動により就業環境を害する行為、または性的な要求に応じないことを理由に不利益な扱いをする行為をセクシュアルハラスメントとしています。,第26条（ハラスメントの禁止）,FAQ044;FAQ045
FAQ053,ハラスメント,妊娠や育児休業について嫌がらせを受けた場合はどうすればいいですか？,妊娠、出産、育児休業、介護休業等の取得に関する嫌がらせは禁止されています。相談する場合は人事部または顧問弁護士へ相談できます。,第26条（ハラスメントの禁止）／第27条（相談窓口および通報制度）,FAQ044;FAQ045
FAQ054,給与,今月の給与が先月より少ないのはなぜ？,今月の給与が先月より少ない理由として、勤務日数や控除額の変更などが考えられます。給与明細をご確認ください。,第15条（給与計算期間および支給日）,FAQ001;FAQ002
